Country Name,country_code,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Liberia,LBR,0.009842029,0.008232483,0.029695116,0.031711554,0.010293849,0.012022339,0.020922197,0.007808225,-0.008661974,0.024857768,0.027617429,0.015184324,0.024222755,0.038124871,0.034967673,0.027661029,0.035634594,0.035941182,0.038935508,0.034404973,0.021527238,0.011302517,0.016961688,-0.003917198,-0.002585271,0.00204719,-0.009171968,-0.026904927,-0.011003723,-0.020280084,-0.03590299,-0.010273033,0.001435986,-0.009174185,-0.025679835,-0.012050315,-0.007563409,0.002340663,0.018944392,0.044840641,0.038916571,0.030724247,0.031319088,0.028098832,0.010282863,0.015538898,-0.003059024,-0.03962178,-0.033175783,-0.013916487,0.003087388,0.026955268,0.066596022,0.058111315
Gambia ,GMB,0.028695496,0.021857945,0.026199602,0.034235016,0.037500312,0.039279368,0.051461141,0.047171216,0.03132293,0.021659483,0.009541543,0.007235634,0.003402759,0.018845012,0.029561915,0.045381753,0.053470394,0.067346139,0.074879677,0.073701513,0.064970119,0.063946617,0.052316611,0.038127106,0.036833644,0.044068864,0.016451177,0.008504722,-0.007827772,-0.010301459,-0.01106283,0.014116288,0.020425759,0.027617592,0.0238382,0.00024792,-0.012369476,-0.019220495,-0.008567928,-0.003034965,0.014238108,0.016834845,0.02502632,0.015565032,0.004811733,0.00515478,0.003696314,0.002570914,0.005139835,0.016293607,0.014575595,0.02041757,0.027729063,0.03635104
Burkina Faso,BFA,0.016128955,0.011821616,0.018380131,0.013235421,0.006805341,0.01441412,0.019891232,0.009256574,0.011035576,0.027902006,0.013975817,0.026835084,0.024747838,0.02021897,0.023929003,0.02708234,0.023463468,0.01473076,-0.003692183,-0.008909593,-0.039652404,-0.049301993,-0.028407395,-0.000916302,0.013746497,0.058579511,0.064163402,0.013859718,-0.008131381,-0.012814168,-0.02404479,-0.024986335,0.017093724,0.037429016,0.046282708,0.04940448,0.053527687,0.064272837,0.063647545,0.054232706,0.068393051,0.068000083,0.057713623,0.050933948,0.038519422,0.027379849,0.020260894,0.012340269,0.014425732,0.030493275,0.034430748,0.039485629,0.045802065,0.044593026
Chad ,TCD,0.01964336,0.021435103,0.016222108,0.009138536,0.009568368,0.010244645,0.012183292,0.015653418,0.017403471,0.015781595,0.014926822,0.016030437,0.014272925,0.020435913,0.021593615,0.028485451,0.030399075,0.038014171,0.040184739,0.039791424,0.031919921,0.030570491,0.024843792,0.029234176,0.029175585,0.032927478,0.027590443,0.020700578,0.006522629,0.002455256,0.000679925,0.008369766,0.017230428,0.02262755,0.022492258,0.024688067,0.017608712,0.015791144,0.019030648,0.022900217,0.025370327,0.025777472,0.025219006,0.016292113,-0.000878992,-0.003481336,-0.003205225,-0.004693865,0.001829311,0.020453472,0.022983212,0.03225178,0.040839939,0.040290348
India ,IND,0.030052182,0.027900781,0.034358021,0.044004701,0.029751959,0.028440775,0.022162352,0.016083412,0.020159017,0.035640689,0.032479004,0.037463911,0.040839559,0.040298576,0.030958458,0.031342589,0.027429184,0.032470356,0.035668866,0.036732333,0.036125507,0.037370918,0.028387527,0.028886386,0.035484708,0.041470168,0.050761757,0.042367801,0.017013492,0.006447849,-0.004028255,-0.027780119,-0.022339613,-0.010628165,-0.008706051,-0.003551182,0.013094135,0.017125357,0.018961668,0.019721881,-0.002757759,-0.000551209,0.006015431,0.012754379,0.012356411,0.03923796,0.029413964,0.018313271,0.0117196,0.012589359,0.006495243,0.016841442,0.022125812,0.021887045
Tanzania ,TZA,0.032133004,0.025510357,0.024654233,0.012439466,0.007602592,0.01895641,0.02692375,0.031486761,0.039824308,0.052535739,0.038938966,0.038112986,0.03148438,0.020220608,0.011910113,0.014081286,0.006640226,0.00512114,0.017672153,0.023007709,0.023362419,0.017497602,0.011309923,0.001300378,0.002966322,-0.002936406,0.003338715,0.004301475,-0.023556422,-0.025424986,-0.029712671,-0.018961324,-0.002599501,0.009411149,-0.025096321,-0.038777801,-0.051568158,-0.067699178,-0.042583156,0.006959427,0.034986803,0.035129135,0.0507874,0.040756613,0.018890684,0.009024516,0.005309044,0.002563889,0.012499918,0.021057124,0.029102229,0.044569365,0.052548785,0.064274788
Afghanistan,AFG,0.028088445,0.015848738,0.014742488,0.010063533,-0.020530383,-0.015076217,-0.012387975,-0.018469656,-0.022565719,-6.62E-05,-0.004080955,-0.002475261,-0.005731137,-0.003028628,0.005412545,0.013003164,0.00619034,0.009330491,0.009395161,0.005247103,0.008830401,0.01773699,0.02623838,0.034303312,0.03938375,0.038860606,0.041767731,0.011901163,-0.010582125,-0.024602229,-0.032386574,-0.026328285,0.015631843,0.028112446,0.032995577,0.030617503,0.020710739,0.021093182,0.026922536,0.03926608,0.03504164,0.039072337,0.033213117,0.036820773,0.016553953,0.016659623,-0.001034393,-0.033280749,-0.037323423,-0.009601099,0.006445369,0.022342944,0.061636151,0.074766283
Greece ,GRC,0.032356431,0.03550522,0.047059678,0.042906728,0.035003921,0.01969012,-0.002691167,-0.020723862,-0.014296282,-0.008864217,0.00402307,0.01458048,0.018381334,0.023301068,0.014236837,0.016330784,0.015411798,0.006443471,0.007225921,0.004731217,-0.003778805,0.009081749,0.018900676,0.009950812,0.007723519,-0.006431143,-0.020757979,-0.036210965,-0.047664905,-0.046126567,-0.034168266,-0.023799094,-0.012070535,0.007539356,-0.012583926,-0.004943528,0.004152696,0.009572287,-0.000429831,0.01374491,0.01217408,-0.00587403,-0.004366772,-0.003435285,-0.010079372,-0.00975205,-0.00190771,-0.031575519,-0.047119308,-0.001979486,0.01069093,0.023092453,0.059817603,0.088114407
Indonesia (Java before 1880),IDN,-0.00696696,-0.032526804,-0.044916685,-0.021349525,-0.026202506,-0.028219863,-0.012368146,0.004959406,0.012611229,0.02265966,0.02368664,0.033600487,0.034726139,0.038565166,0.037656973,0.038046388,0.031144065,0.028720632,0.025434238,0.026703864,0.029419616,0.037272431,0.035490711,0.028657833,0.018603167,0.004418943,-0.007670344,-0.023117501,-0.036903593,-0.033690088,-0.03245824,-0.040255368,-0.026935541,-0.011356992,-0.008715246,0.001523413,0.017236746,0.014305945,0.014655207,0.01802446,0.017314145,0.016023053,0.023096512,0.02499674,0.016860277,0.01281805,0.007685446,0.002981519,-0.001365898,0.006156743,0.010129416,0.016548731,0.021013282,0.028174404
Bulgaria ,BGR,0.046142484,0.033537705,0.026224134,0.020565847,0.025629622,0.019974071,0.034205664,0.02968453,0.023015697,0.026530718,0.028589002,0.036594039,0.03756663,0.036825787,0.041103918,0.037253878,0.036030517,0.042240187,0.043098595,0.041091951,0.032083582,0.029874432,0.029775683,0.024327728,0.022830803,0.02238538,0.007655105,-0.023489058,-0.027790312,-0.022242832,-0.024385499,-0.010257566,0.013580102,0.015182817,0.011745104,0.018073535,0.013105157,0.022224007,0.029867198,0.027373204,0.027503126,0.024031557,0.017057526,0.019597657,0.027469447,0.024486578,0.026382169,0.022906808,0.020867375,0.014846252,0.024218698,0.040285661,0.05068101,0.043572205
Argentina ,ARG,-0.004064134,-0.002872396,0.017480047,0.044525303,0.011009815,0.004635139,-0.008968826,-0.031891214,-0.029757138,-0.005622073,-0.006268667,0.000119291,0.018938374,0.004714224,0.00114226,-0.007240949,-0.00144028,-0.01390712,0.01540114,0.028351933,0.046294554,0.036693529,0.037591742,0.033691602,0.030027254,0.019225953,0.031481139,0.027767227,0.021390894,0.023229626,0.028896271,0.012360863,0.006285081,0.004351135,-0.002105289,-0.006126486,-0.030763377,-0.05769077,-0.092958805,-0.088962899,-0.081647193,-0.041931508,-0.0058378,0.032667572,0.042074364,0.046275408,0.034960167,0.031276725,0.036392101,0.034707705,0.045956643,0.06416742,0.076294345,0.077195165
Malaysia ,MYS,0.02865382,0.024415832,0.020159948,0.032864804,0.022200062,0.019506152,-0.004503944,0.014801861,0.017183957,0.029469028,-0.006794954,0.023613604,-0.001014531,-0.012624459,-0.004268968,0.044028959,0.039477121,0.057770113,0.082567772,0.07303038,0.062194624,0.055294315,0.041375965,0.023084475,0.020674131,0.023527765,0.018785625,0.012990815,0.01739184,0.00974561,-0.006818804,-0.008616526,0.002664749,-0.004320971,0.019554141,0.015173088,0.011446906,0.017491214,0.031079089,0.011971517,0.033402998,0.046158641,0.041625552,0.041242435,0.050042132,0.050453577,0.040000232,0.035941939,0.021830427,0.011705873,0.019049138,0.036780268,0.042512376,0.054187024
